x,u
0,0
0.0196078,0.000265412
0.0392157,0.000530824
0.0588235,0.000796236
0.0784314,0.00106165
0.0980392,0.00132706
0.117647,0.00159247
0.137255,0.00185789
0.156863,0.0021233
0.176471,0.00238871
0.196078,0.00265412
0.215686,0.00291953
0.235294,0.00318495
0.254902,0.00345036
0.27451,0.00371577
0.294118,0.00398118
0.313725,0.00424659
0.333333,0.00451201
0.352941,0.00477742
0.372549,0.00504283
0.392157,0.00530824
0.411765,0.00557366
0.431373,0.00583907
0.45098,0.00610448
0.470588,0.00636989
0.490196,0.00663531
0.509804,0.00690072
0.529412,0.00712448
0.54902,0.00730659
0.568627,0.00744706
0.588235,0.00754587
0.607843,0.00760304
0.627451,0.00761856
0.647059,0.00759242
0.666667,0.00752464
0.686275,0.00741521
0.705882,0.00726413
0.72549,0.0070714
0.745098,0.00683702
0.764706,0.00656099
0.784314,0.00624331
0.803922,0.00588398
0.823529,0.00548301
0.843137,0.00504038
0.862745,0.00455611
0.882353,0.00403018
0.901961,0.00346261
0.921569,0.00285339
0.941176,0.00220251
0.960784,0.00150999
0.980392,0.00077582
1,0
