x,u
0,0
0.00990099,1.23874e-05
0.019802,2.53883e-05
0.029703,3.90332e-05
0.039604,5.33541e-05
0.049505,6.83848e-05
0.0594059,8.41604e-05
0.0693069,0.000100718
0.0792079,0.000118097
0.0891089,0.000136337
0.0990099,0.000155482
0.108911,0.000175577
0.118812,0.000196668
0.128713,0.000218806
0.138614,0.000242042
0.148515,0.000266431
0.158416,0.00029203
0.168317,0.0003189
0.178218,0.000347103
0.188119,0.000376707
0.19802,0.000407779
0.207921,0.000440394
0.217822,0.000474628
0.227723,0.000510562
0.237624,0.000548279
0.247525,0.000587869
0.257426,0.000629425
0.267327,0.000673043
0.277228,0.000718827
0.287129,0.000766884
0.29703,0.000817326
0.306931,0.000870273
0.316832,0.000925849
0.326733,0.000984184
0.336634,0.00104541
0.346535,0.00110968
0.356436,0.00117714
0.366337,0.00124795
0.376238,0.00132228
0.386139,0.00140029
0.39604,0.00148218
0.405941,0.00156813
0.415842,0.00165834
0.425743,0.00175303
0.435644,0.00185243
0.445545,0.00195675
0.455446,0.00206625
0.465347,0.00218119
0.475248,0.00230182
0.485149,0.00242844
0.49505,0.00256135
0.50495,0.00270085
0.514851,0.00283746
0.524752,0.00297105
0.534653,0.00310146
0.544554,0.00322854
0.554455,0.00335213
0.564356,0.00347204
0.574257,0.00358811
0.584158,0.00370013
0.594059,0.00380792
0.60396,0.00391125
0.613861,0.00400991
0.623762,0.00410367
0.633663,0.00419229
0.643564,0.00427551
0.653465,0.00435306
0.663366,0.00442466
0.673267,0.00449003
0.683168,0.00454884
0.693069,0.00460078
0.70297,0.00464551
0.712871,0.00468266
0.722772,0.00471187
0.732673,0.00473275
0.742574,0.00474486
0.752475,0.0047478
0.762376,0.00474109
0.772277,0.00472426
0.782178,0.00469682
0.792079,0.00465823
0.80198,0.00460794
0.811881,0.00454538
0.821782,0.00446993
0.831683,0.00438096
0.841584,0.0042778
0.851485,0.00415974
0.861386,0.00402604
0.871287,0.00387594
0.881188,0.00370862
0.891089,0.00352322
0.90099,0.00331885
0.910891,0.00309457
0.920792,0.00284939
0.930693,0.00258228
0.940594,0.00229216
0.950495,0.00197787
0.960396,0.00163822
0.970297,0.00127197
0.980198,0.000877778
0.990099,0.000454273
1,0
