N,LU_Time,GS_Time,CG_Time
100,1.015e-06,0.00411747,3.1795e-05
200,2.212e-06,0.0308704,0.000122062
400,3.752e-06,0.201479,0.000431094
800,6.348e-06,1.30776,0.00194226
1600,1.6286e-05,8.29932,0.00693381
3200,2.2779e-05,52.6699,0.0286885
6400,4.4003e-05,306.565,0.120386
12800,0.000160614,,0.466765
25600,0.000189757,,1.89154
51200,0.000377882,,7.6658
102400,0.000785816,,31.7104
204800,0.00144589,,133.575
409600,0.0025832,,
819200,0.00563477,,
1638400,0.0108744,,
3276800,0.020151,,
6553600,0.0392488,,
13107200,0.0779373,,
26214400,0.156165,,
52428800,0.313213,,
104857600,0.62169,,
209715200,1.24256,,
419430400,26.0278,,
